virusIsolate	virusStrain	virusYear	serumIsolate	serumStrain	serumYear	titer	source
A/Denmark/56/03	A/Denmark/56/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/England/2/02	A/England/2/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Finland/108/02	A/Finland/108/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Finland/294/03	A/Finland/294/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Finland/299/03	A/Finland/299/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Geneva/3762/03	A/Geneva/3762/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Geneva/4099/03	A/Geneva/4099/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/HongKong/1252/00	A/HongKong/1252/2000	2000	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/HongKong/1273/01	A/HongKong/1273/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/HongKong/1670/02	A/HongKong/1670/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/HongKong/841/02	A/HongKong/841/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Hungary/7/03	A/Hungary/7/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	80	MRC2003
A/Iceland/46/03	A/Iceland/46/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Inverness/5824106/02	A/Inverness/5824106/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Ireland/3407/02	A/Ireland/3407/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Israel/152/01	A/Israel/152/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Israel/2/03	A/Israel/2/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Johannesburg/5/02	A/Johannesburg/5/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/Johannesburg/82/96	A/Johannesburg/82/1996	1996	A/Bay/07/95	A/Bayern/7/1995	1995	1280	Daum2002
A/Kaliningrad/2187/02	A/Kaliningrad/2187/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Latvia/1381/03	A/Latvia/1381/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Latvia/686/02	A/Latvia/686/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Lisbon/2/02	A/Lisbon/2/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Lisbon/2/03	A/Lisbon/2/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Lisbon/4/02	A/Lisbon/4/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	80	MRC2002
A/Lyon/1541/02	A/Lyon/1541/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Lyon/1723/02	A/Lyon/1723/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Lyon/807/02	A/Lyon/807/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Madagascar/57794/00	A/Madagascar/57794/2000	2000	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/Madagascar/57794/00	A/Madagascar/57794/2000	2000	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Madrid/RR1045/02	A/Madrid/RR1045/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/Montpellier/1120/02	A/Montpellier/1120/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Moscow/6/03	A/Moscow/6/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Navarra/RR1252/02	A/Navarra/RR1252/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	80	MRC2003
A/Netherlands/02/03	A/Netherlands/2/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Netherlands/352/02	A/Netherlands/352/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/NewCaledonia/10/01	A/NewCaledonia/10/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/NewCaledonia/20/99	A/NewCaledonia/20/1999	1999	A/Bay/07/95	A/Bayern/7/1995	1995	10	Daum2002
A/NewCaledonia/20/99	A/NewCaledonia/20/1999	1999	A/Bay/7/95	A/Bayern/7/1995	1995	<40	Hay2001
A/NewCaledonia/20/99	A/NewCaledonia/20/1999	1999	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/NewCaledonia/20/99	A/NewCaledonia/20/1999	1999	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Oslo/3389/03	A/Oslo/3389/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Palencia/5/02	A/Palencia/5/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Paris/0655/03	A/Paris/655/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Parma/24/03	A/Parma/24/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Peru/1621/99	A/Peru/1621/1999	1999	A/Bay/07/95	A/Bayern/7/1995	1995	<10	Daum2002
A/Peru/1798/99	A/Peru/1798/1999	1999	A/Bay/07/95	A/Bayern/7/1995	1995	<10	Daum2002
A/Philippines/637/01	A/Philippines/637/2001	2001	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Poland/8/02	A/Poland/8/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Prague/8/03	A/Prague/8/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/RheinlandPfalz/34/03	A/RheinlandPfalz/34/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Sachsen/252/03	A/Sachsen/252/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Sachsen/32/02	A/Sachsen/32/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2002
A/Segovia/17/03	A/Segovia/17/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Singapore/6/86	A/Singapore/6/1986	1986	A/Bay/7/95	A/Bayern/7/1995	1995	1280	Hay2001
A/Slovakia/258/03	A/Slovakia/258/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Stockholm/13/02	A/Stockholm/13/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/StPetersburg/49/03	A/StPetersburg/49/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2003
A/Switzerland/3100/02	A/Switzerland/3100/2002	2002	A/Bay/7/95	A/Bayern/7/1995	1995	40	MRC2002
A/Taiwan/1/86	A/Taiwan/1/1986	1986	A/Bay/7/95	A/Bayern/7/1995	1995	1280	Hay2001
A/Texas/36/91	A/Texas/36/1991	1991	A/Bay/7/95	A/Bayern/7/1995	1995	1280	Hay2001
A/USSR/90/77	A/USSR/90/1977	1977	A/Bay/7/95	A/Bayern/7/1995	1995	<40	Hay2001
A/Zagreb/4889/03	A/Zagreb/4889/2003	2003	A/Bay/7/95	A/Bayern/7/1995	1995	<40	MRC2003
A/Akita/25/02	A/Akita/25/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Algeria/G51/2006	A/Algeria/G51/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
A/Auckland/2/02	A/Auckland/2/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Austria/207244/2005	A/Austria/207244/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	320	MRC2005Sep
A/BadenWurttemberg/362/2005	A/BadenWurttemberg/362/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	<40	MRC2006Mar
A/Bangkok/1544/2004	A/Bangkok/1544/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Bangkok/544/01	A/Bangkok/544/2001	2001	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2002
A/Barcelona/259/2006	A/Barcelona/259/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Mar
A/Barcelona/261/2006	A/Barcelona/261/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	320	MRC2006Sep
A/Barcelona/69830/03	A/Barcelona/69830/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Barcelona/90/02	A/Barcelona/90/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2002
A/Bayern/07/95	A/Bayern/7/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	40	Daum2002
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2002
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Bayern/7/95	A/Bayern/7/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	80	Hay2001
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	640	Daum2002
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	2560	McDonald2007
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	2560	MRC2002
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	2560	MRC2003
A/Beijing/262/95	A/Beijing/262/1995	1995	A/Beij/262/95	A/Beijing/262/1995	1995	640	MRC2004
A/Beijing/262/96	A/Beijing/262/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	640	Hay2001
A/Beijing/262/1996	A/Beijing/262/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	640	MRC2005Feb
A/Beijing/262/96	A/Beijing/262/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	1280	MRC2005Sep
A/Beijing/262/96	A/Beijing/262/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	1280	MRC2006Mar
A/Beijing/262/96	A/Beijing/262/1995	1995	A/Beij/262/96	A/Beijing/262/1995	1995	1280	MRC2006Sep
A/Belgium/338/02	A/Belgium/338/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2002
A/Belgium/740/2005	A/Belgium/740/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Sep
A/Belgrade/1062/03	A/Belgrade/1062/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Berlin/15/2006	A/Berlin/15/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
A/Brazil/11/78	A/Brazil/11/1978	1978	A/Beij/262/96	A/Beijing/262/1995	1995	<40	Hay2001
A/Bucharest/796/03	A/Bucharest/796/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Chile/1/83	A/Chile/1/1983	1983	A/Beij/262/96	A/Beijing/262/1995	1995	<40	Hay2001
A/Chile/8885/02	A/Chile/8885/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	40	MRC2004
A/Chile/8885/2002	A/Chile/8885/2002	2002	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2005Feb
A/Clermont-F/26/06	A/Clermont-F/26/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Mar
A/Congo/6/02	A/Congo/6/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2003
A/Constanta/619/2006	A/Constanta/619/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
A/Constanta/879/02	A/Constanta/879/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Dakar/13/03	A/Dakar/13/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Dakar/51/02	A/Dakar/51/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Dakar/68/03	A/Dakar/68/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2004
A/Dakar/79/2004	A/Dakar/79/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Dakar/80/2004	A/Dakar/80/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Dakar/88/03	A/Dakar/88/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2004
A/Darwin/18/01	A/Darwin/18/2001	2001	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Denmark/22/2005	A/Denmark/22/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	320	MRC2005Sep
A/Denmark/3/2005	A/Denmark/3/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Denmark/5/2005	A/Denmark/5/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Denmark/56/03	A/Denmark/56/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Denmark/86/03	A/Denmark/86/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2004
A/Egypt/136/2005	A/Egypt/136/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2006Mar
A/Egypt/163/2006	A/Egypt/163/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	320	MRC2006Sep
A/Egypt/214/2006	A/Egypt/214/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Mar
A/Egypt/39/2005	A/Egypt/39/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2002
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	40	MRC2004
A/Egypt/96/2002	A/Egypt/96/2002	2002	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2005Feb
A/Egypt/96/2002	A/Egypt/96/2002	2002	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Sep
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Mar
A/Egypt/96/02	A/Egypt/96/2002	2002	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Sep
A/England/2/02	A/England/2/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2002
A/England/40/04	A/England/40/2004	2004	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2004
A/England/473/2006	A/England/473/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
A/England/488/2005	A/England/488/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2006Mar
A/England/57/2004	A/England/57/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/England/69/2004	A/England/69/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/Finland/108/02	A/Finland/108/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Finland/294/03	A/Finland/294/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Finland/299/03	A/Finland/299/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Finland/610/2005	A/Finland/610/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Sep
A/Finland/731/2006	A/Finland/731/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Sep
A/Florida/4/2004	A/Florida/4/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2005Feb
A/Geneva/3762/03	A/Geneva/3762/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Geneva/4099/03	A/Geneva/4099/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Geneva/8619/2005	A/Geneva/8619/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2005Sep
A/Hebei/52/94	A/Hebei/52/1994	1994	A/Beij/262/95	A/Beijing/262/1995	1995	40	McDonald2007
A/Hessen/15/2005	A/Hessen/15/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Sep
A/HongKong/1252/00	A/HongKong/1252/2000	2000	A/Beij/262/95	A/Beijing/262/1995	1995	40	MRC2002
A/HongKong/1273/01	A/HongKong/1273/2001	2001	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2002
A/HongKong/1670/02	A/HongKong/1670/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2003
A/HongKong/2637/2004	A/HongKong/2637/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2005Feb
A/HongKong/2637/2004	A/HongKong/2637/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2005Sep
A/HongKong/2637/04	A/HongKong/2637/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Mar
A/HongKong/2637/2004	A/HongKong/2637/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2006Sep
A/HongKong/2765/04	A/HongKong/2765/2004	2004	A/Beij/262/95	A/Beijing/262/1995	1995	<40	MRC2004
A/HongKong/35/2006	A/HongKong/35/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Mar
A/HongKong/4555/2004	A/HongKong/4555/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/HongKong/456/2006	A/HongKong/456/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	<40	MRC2006Sep
A/HongKong/4580/2004	A/HongKong/4580/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/HongKong/4596/2004	A/HongKong/4596/2004	2004	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Feb
A/HongKong/4922/2005	A/HongKong/4922/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	40	MRC2006Mar
A/HongKong/841/02	A/HongKong/841/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/HongKong/948/2006	A/HongKong/948/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Sep
A/Hungary/2/03	A/Hungary/2/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	40	MRC2004
A/Hungary/7/03	A/Hungary/7/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	640	MRC2003
A/Iceland/123/03	A/Iceland/123/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2004
A/Iceland/46/03	A/Iceland/46/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2003
A/Iceland/61/03	A/Iceland/61/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	40	MRC2004
A/Inverness/5824106/02	A/Inverness/5824106/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2002
A/Iran/239/2005	A/Iran/239/2005	2005	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2005Sep
A/Ireland/3407/02	A/Ireland/3407/2002	2002	A/Beij/262/95	A/Beijing/262/1995	1995	80	MRC2002
A/Israel/152/01	A/Israel/152/2001	2001	A/Beij/262/95	A/Beijing/262/1995	1995	160	MRC2002
A/Israel/2/03	A/Israel/2/2003	2003	A/Beij/262/95	A/Beijing/262/1995	1995	320	MRC2003
A/Istanbul/540/2006	A/Istanbul/540/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	80	MRC2006Sep
A/Johannesburg/131/2006	A/Johannesburg/131/2006	2006	A/Beij/262/96	A/Beijing/262/1995	1995	160	MRC2006Sep
